Tanggal,Kasus Baru,Kematian Baru,Kesembuhan Baru,Kasus Aktif Baru
3/2/2020,2,0,0,2
3/3/2020,0,0,0,0
3/4/2020,0,0,0,0
3/5/2020,0,0,0,0
3/6/2020,2,0,0,2
3/7/2020,0,0,0,0
3/8/2020,2,0,0,2
3/9/2020,13,0,0,13
3/10/2020,8,0,2,6
3/11/2020,7,1,0,6
3/12/2020,0,0,0,0
3/13/2020,35,3,0,32
3/14/2020,27,1,6,20
3/15/2020,21,0,0,21
3/16/2020,17,0,0,17
3/17/2020,38,0,1,37
3/18/2020,55,14,2,39
3/19/2020,82,6,4,72
3/20/2020,60,7,2,51
3/21/2020,81,6,3,72
3/22/2020,64,10,9,45
3/23/2020,65,1,1,63
3/24/2020,106,6,0,100
3/25/2020,105,3,1,101
3/26/2020,103,20,4,79
3/27/2020,153,9,11,133
3/28/2020,109,15,13,81
3/29/2020,130,12,5,113
3/30/2020,129,8,11,110
3/31/2020,114,14,6,94
4/1/2020,149,21,22,106
4/2/2020,113,13,9,91
4/3/2020,196,11,22,163
4/4/2020,106,10,16,80
4/5/2020,181,7,14,160
4/6/2020,218,11,28,179
4/7/2020,247,12,12,223
4/8/2020,218,19,18,181
4/9/2020,337,40,30,267
4/10/2020,219,26,30,163
4/11/2020,330,21,4,305
4/12/2020,399,46,73,280
4/13/2020,316,26,21,269
4/14/2020,282,60,46,176
4/15/2020,297,10,20,267
4/16/2020,380,27,102,251
4/17/2020,407,24,59,324
4/18/2020,325,15,24,286
4/19/2020,327,47,55,225
4/20/2020,185,8,61,116
4/21/2020,375,26,95,254
4/22/2020,283,19,71,193
4/23/2020,357,12,47,298
4/24/2020,436,42,42,352
4/25/2020,396,31,40,325
4/26/2020,275,23,65,187
4/27/2020,214,22,44,148
4/28/2020,415,8,103,304
4/29/2020,260,11,137,112
4/30/2020,347,8,131,208
5/1/2020,433,8,69,356
5/2/2020,292,31,74,187
5/3/2020,349,14,211,124
5/4/2020,395,19,78,298
5/5/2020,484,8,243,233
5/6/2020,367,23,120,224
5/7/2020,338,35,64,239
5/8/2020,336,13,113,210
5/9/2020,533,16,113,404
5/10/2020,387,14,91,282
5/11/2020,233,18,183,32
5/12/2020,484,16,182,286
5/13/2020,689,21,224,444
5/14/2020,568,15,231,322
5/15/2020,490,33,285,172
5/16/2020,529,13,108,408
5/17/2020,489,59,218,212
5/18/2020,496,43,195,258
5/19/2020,486,30,143,313
5/20/2020,693,21,108,564
5/21/2020,973,36,263,674
5/22/2020,634,48,219,367
5/23/2020,949,25,192,732
5/24/2020,526,21,153,352
5/25/2020,479,19,240,220
5/26/2020,415,27,235,153
5/27/2020,686,55,180,451
5/28/2020,687,23,183,481
5/29/2020,678,24,252,402
5/30/2020,557,53,523,-19
5/31/2020,700,40,293,367
6/1/2020,467,28,329,110
6/2/2020,609,22,298,289
6/3/2020,684,35,471,178
6/4/2020,585,23,486,76
6/5/2020,703,49,551,103
6/6/2020,993,31,464,498
6/7/2020,672,50,591,31
6/8/2020,847,32,406,409
6/9/2020,1042,40,510,492
6/10/2020,1241,36,715,490
6/11/2020,979,41,507,431
6/12/2020,1111,48,577,486
6/13/2020,1014,43,563,408
6/14/2020,857,43,755,59
6/15/2020,1017,64,592,361
6/16/2020,1106,33,580,493
6/17/2020,1031,45,540,446
6/18/2020,1331,63,555,713
6/19/2020,1041,34,551,456
6/20/2020,1226,56,534,636
6/21/2020,862,36,521,305
6/22/2020,954,35,331,588
6/23/2020,1051,35,506,510
6/24/2020,1113,38,417,658
6/25/2020,1178,47,791,340
6/26/2020,1240,63,884,293
6/27/2020,1385,37,576,772
6/28/2020,1198,34,1027,137
6/29/2020,1082,51,864,167
6/30/2020,1293,71,1006,216
7/1/2020,1385,58,789,538
7/2/2020,1624,53,1072,499
7/3/2020,1301,49,901,351
7/4/2020,1447,53,651,743
7/5/2020,1607,82,886,639
7/6/2020,1209,70,814,325
7/7/2020,1268,68,866,334
7/8/2020,1853,50,800,1003
7/9/2020,2657,58,1066,1533
7/10/2020,1611,52,878,681
7/11/2020,1671,66,1190,415
7/12/2020,1681,71,919,691
7/13/2020,1282,50,1051,181
7/14/2020,1591,54,947,590
7/15/2020,1522,87,1414,21
7/16/2020,1574,76,1295,203
7/17/2020,1462,84,1489,-111
7/18/2020,1752,59,1434,259
7/19/2020,1639,127,2133,-621
7/20/2020,1693,96,1576,21
7/21/2020,1655,81,1489,85
7/22/2020,1882,139,1789,-46
7/23/2020,1906,117,1909,-120
7/24/2020,1761,89,1781,-109
7/25/2020,1868,49,1409,410
7/26/2020,1492,67,1301,124
7/27/2020,1525,57,1518,-50
7/28/2020,1748,63,2366,-681
7/29/2020,2381,74,1599,708
7/30/2020,1904,83,2154,-333
7/31/2020,2040,73,1615,352
8/1/2020,1560,62,2012,-514
8/2/2020,1519,43,1056,420
8/3/2020,1679,66,1262,351
8/4/2020,1922,86,1813,23
8/5/2020,1815,64,1839,-88
8/6/2020,1882,69,1756,57
8/7/2020,2473,72,1912,489
8/8/2020,2277,65,1749,463
8/9/2020,1893,65,1646,182
8/10/2020,1687,42,1284,361
8/11/2020,1693,59,1474,160
8/12/2020,1942,79,2088,-225
8/13/2020,2098,65,1760,273
8/14/2020,2307,53,2060,194
8/15/2020,2345,50,1703,592
8/16/2020,2081,79,1782,220
8/17/2020,1821,57,1355,409
8/18/2020,1673,70,1848,-245
8/19/2020,1902,69,2351,-518
8/20/2020,2266,72,2017,177
8/21/2020,2197,82,2317,-202
8/22/2020,2090,94,2207,-211
8/23/2020,2037,86,2302,-351
8/24/2020,1877,79,3560,-1762
8/25/2020,2447,99,1807,541
8/26/2020,2306,86,2542,-322
8/27/2020,2719,120,3166,-567
8/28/2020,3003,105,2325,573
8/29/2020,3308,92,1902,1314
8/30/2020,2858,82,1383,1393
8/31/2020,2743,74,1774,895
9/1/2020,2775,88,2098,589
9/2/2020,3075,111,1914,1050
9/3/2020,3622,134,2084,1404
9/4/2020,3269,82,2126,1061
9/5/2020,3128,108,2220,800
9/6/2020,3444,85,2174,1185
9/7/2020,2880,105,2077,698
9/8/2020,3046,100,2306,640
9/9/2020,3307,106,2242,959
9/10/2020,3861,120,2310,1431
9/11/2020,3737,88,2707,942
9/12/2020,3806,106,2241,1459
9/13/2020,3636,73,2552,1011
9/14/2020,3141,118,3395,-372
9/15/2020,3507,124,2660,723
9/16/2020,3963,135,3036,792
9/17/2020,3635,122,2585,928
9/18/2020,3891,114,4088,-311
9/19/2020,4168,112,3576,480
9/20/2020,3989,105,2977,907
9/21/2020,4176,124,3470,582
9/22/2020,4071,160,3501,410
9/23/2020,4465,140,3660,665
9/24/2020,4634,128,3895,611
9/25/2020,4823,113,4343,367
9/26/2020,4494,90,3207,1197
9/27/2020,3874,78,3611,185
9/28/2020,3509,87,3856,-434
9/29/2020,4002,128,3567,307
9/30/2020,4284,139,4510,-365
10/1/2020,4174,116,3540,518
10/2/2020,4317,116,2853,1348
